link,directory
http://www1.folha.uol.com.br/internacional/en/brazil/2016/03/1753647-obama-praises-brazilian-democracy-in-meeting-with-macri-in-buenos-aires.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/ObamaPraisesBrazilianDemocracyinMeetingwithMacriinBuenosAires
http://www1.folha.uol.com.br/internacional/en/brazil/2016/04/1758835-60-of-brazils-lower-house-plan-to-vote-for-impeachment.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/60%OfBrazilsLowerHousePlansToVoteForImpeachment
http://www1.folha.uol.com.br/internacional/en/brazil/2016/04/1761227-construction-company-andrade-gutierrez-implicated-in-dodgy-dealings-in-rousseffs-2014-campaign.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/ConstructionCompanyAndradeGutierrezImplicatedinDodgyDealingsinRousseffs2014Campaign
http://www1.folha.uol.com.br/internacional/en/brazil/2016/04/1763652-president-and-vice-presidents-conflicting-impeachment-views-in-international-press.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PresidentAndVicePresidentsConflictingImpeachmentViewsInInternationalPress
http://www1.folha.uol.com.br/internacional/en/brazil/2016/04/1766027-brazilian-supreme-court-must-discuss-cunhas-ousting-says-justice-teori-zavascki.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilianSupremeCourtMustDiscussCunhasOustingSaysJusticeTeoriZavascki
http://www1.folha.uol.com.br/internacional/en/brazil/2016/05/1773285-waiter-working-at-planalto-palace-since-lula-administration-is-fired-by-temers-team.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/WaiterWorkingatPlanaltoPalaceSinceLulaAdministrationIsFiredbyTemersTeam
http://www1.folha.uol.com.br/internacional/en/brazil/2016/06/1782722-latest-scandal-in-the-ranks-leaves-temer-desperately-searching-for-silver-lining.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/LatestScandalintheRanksLeavesTemerDesperatelySearchingforSilverLining
http://www1.folha.uol.com.br/internacional/en/brazil/2016/09/1809199-lula-proposes-a-broad-front-and-opposition-block-to-temer.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/LulaProposesaBroadFrontandOppositionBlocktoTemer
http://www1.folha.uol.com.br/internacional/en/brazil/2016/09/1816142-in-recife-lula-says-that-federal-judge-moro-and-the-federal-police-will-have-to-ask-for-forgiveness.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/InRecifeLulaSaysThatFederalJudgeMoroandtheFederalPoliceWillHavetoAskforForgiveness
http://www1.folha.uol.com.br/internacional/en/brazil/2017/01/1853239-michel-temer-is-criticized-after-releasing-retouched-official-photo-and-considers-changing-portrait.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/MichelTemerisCriticizedafterReleasingRetouchedOfficialPhotoandConsidersChangingPortrait
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1882406-supreme-court-justice-says-that-lava-jato-operation-gets-support-by-taking-people-hostage.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/SupremeCourtJusticeSaysthatLavaJatoOperationGetsSupportbyTakingPeopleHostage
