link,directory
http://www.bbc.com/news/blogs-trending-34879990,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/GhostSecurityGroupSpyingonIslamicStateinsteadofhackingthem
http://www.bbc.com/news/blogs-trending-34967254,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/KylieJennerwowbeinginawheelchairissofunandfashionable!
http://www.bbc.com/news/blogs-trending-35263200,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/TheTwittermurderthatneverhappened
http://www.bbc.com/news/blogs-trending-35376072,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/HasbullfightingputFacebookonhornsofadilemma
http://www.bbc.com/news/blogs-trending-35413576,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/SingalongtoSiri
http://www.bbc.com/news/blogs-trending-36085314,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Howonewomansbathroombillcampaignwentviral
http://www.bbc.com/news/blogs-trending-36133936,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/HowVitaliyKlitschkosbikeridetookanunexpectedturn
http://www.bbc.com/news/blogs-trending-36384312,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/HospitalityonholdasDamascuspreparesforanuncertainRamadan
http://www.bbc.com/news/blogs-trending-36499488,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/DonteatinpublicRamadanedictangersEgyptians
http://www.bbc.com/news/blogs-trending-36970535,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/DoyourfavouritebrandsshowhowdividedBrexitBritainis
http://www.bbc.com/news/blogs-trending-36985697,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/ThepuppyrescuersofAlexandria
http://www.bbc.com/news/blogs-trending-37179158,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/DrugcompanystungbycriticismofoutrageousEpiPenpricerises
http://www.bbc.com/news/blogs-trending-37197751,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/ThepassengerswhomonitorMelbournesticketinspectors
http://www.bbc.com/news/blogs-trending-37222375,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Cashforcatastrophes
http://www.bbc.com/news/blogs-trending-37222517,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Headphonepick-upadviceisnotsweetmusictowomensears
http://www.bbc.com/news/blogs-trending-37233913,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Lettergetstherebyhand-drawnmap
http://www.bbc.com/news/blogs-trending-37645992,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Marmitegate-Thejokesyoullloveorhate
http://www.bbc.com/news/blogs-trending-37679612,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/KillingofPedalsthewalkingbearsparkshuntingdebate
http://www.bbc.com/news/blogs-trending-37749007,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/TodaysbuzzCalaiscampRussiassmokingcarrierandagiantspider
http://www.bbc.com/news/blogs-trending-37752730,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/CouldplayingPokemonGomakeyoulivelonger
http://www.bbc.com/news/blogs-trending-37925961,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/DidthousandsofAmericansvoteforadeadgorilla
http://www.bbc.com/news/blogs-trending-38031629,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/TrumpandStarbucksataleoftwocups
http://www.bbc.com/news/blogs-trending-38383126,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Howadeadgorillabecamethememeof2016
http://www.bbc.com/news/blogs-trending-38748621,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Chinastravelrumourthatwastoogoodtobetrue
http://www.bbc.com/news/blogs-trending-38804499,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Thebloggerjailedforvisitingacountrythatdoesntexist
http://www.bbc.com/news/blogs-trending-39142260,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Arefoodbloggersfuellingraciststereotypes
